
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2025-12-09 18:12:42 /api/admin/users ...................................................................................... ~ 0.06ms
  2025-12-09 18:12:43 /admin/members ........................................................................................ ~ 0.32ms
  2025-12-09 18:13:54 /admin/users .......................................................................................... ~ 0.32ms
  2025-12-09 18:13:55 /api/admin/users ...................................................................................... ~ 0.19ms
  2025-12-09 18:13:55 /api/admin/users ...................................................................................... ~ 0.05ms
  2025-12-09 18:13:55 /admin/members ........................................................................................ ~ 0.23ms
  2025-12-09 18:16:30 /admin/users .......................................................................................... ~ 0.31ms
  2025-12-09 18:16:30 /api/admin/users ...................................................................................... ~ 0.03ms
  2025-12-09 18:16:30 /api/admin/users ...................................................................................... ~ 0.04ms
  2025-12-09 18:16:31 /admin/members ........................................................................................ ~ 0.06ms
  2025-12-09 18:16:36 /.well-known/appspecific/com.chrome.devtools.json ..................................................... ~ 0.79ms
  2025-12-09 18:17:25 /admin/members ........................................................................................ ~ 0.25ms
  2025-12-09 18:17:31 /admin/users .......................................................................................... ~ 0.07ms
  2025-12-09 18:17:32 /api/admin/users ...................................................................................... ~ 0.02ms
  2025-12-09 18:17:32 /api/admin/users ...................................................................................... ~ 0.03ms
  2025-12-09 18:17:36 /admin/members/create ................................................................................. ~ 0.18ms
  2025-12-09 18:17:52 /api/admin/users ...................................................................................... ~ 0.57ms
  2025-12-09 18:17:52 /api/admin/users ...................................................................................... ~ 0.06ms
  2025-12-09 18:17:53 /dashboard ............................................................................................ ~ 0.08ms
  2025-12-09 18:17:59 /dashboard ............................................................................................ ~ 0.76ms
  2025-12-09 18:34:36 /admin/members ........................................................................................ ~ 0.72ms
  2025-12-09 18:34:36 /.well-known/appspecific/com.chrome.devtools.json ..................................................... ~ 0.03ms
  2025-12-09 18:34:36 /favicon.svg .......................................................................................... ~ 0.13ms
  2025-12-09 18:34:36 /favicon.ico .......................................................................................... ~ 0.05ms
  2025-12-09 20:46:36 /admin/members ...................................................................................... ~ 502.13ms
  2025-12-09 20:46:36 /login .............................................................................................. ~ 504.86ms
  2025-12-09 20:46:37 /.well-known/appspecific/com.chrome.devtools.json ..................................................... ~ 0.02ms
  2025-12-09 20:46:37 /favicon.svg .......................................................................................... ~ 0.23ms
  2025-12-09 20:46:37 /favicon.ico .......................................................................................... ~ 0.06ms
  2025-12-09 20:46:39 /login .............................................................................................. ~ 501.73ms
  2025-12-09 20:46:39 /admin/members ........................................................................................ ~ 0.02ms
  2025-12-09 20:46:45 /admin/members/10 ................................................................................... ~ 506.28ms
  2025-12-09 20:46:49 /admin/members/10/edit ................................................................................ ~ 0.06ms
  2025-12-09 20:47:02 /admin/members/10 ..................................................................................... ~ 2.06ms
  2025-12-09 20:47:02 /admin/members ........................................................................................ ~ 0.08ms
  2025-12-09 20:47:05 /admin/members/10 ..................................................................................... ~ 0.09ms
  2025-12-09 20:47:09 /admin/members/10/edit ................................................................................ ~ 0.46ms
  2025-12-09 20:47:20 /dashboard ............................................................................................ ~ 1.48ms
  2025-12-09 20:47:21 /admin/users .......................................................................................... ~ 0.39ms
  2025-12-09 20:47:21 /admin/members ........................................................................................ ~ 0.06ms
  2025-12-09 20:47:24 /api/admin/users ...................................................................................... ~ 0.07ms
  2025-12-09 20:47:24 /api/admin/users ...................................................................................... ~ 0.03ms
  2025-12-09 20:47:41 /admin/members ........................................................................................ ~ 0.29ms
  2025-12-09 20:47:49 /admin/members ........................................................................................ ~ 0.39ms
  2025-12-09 20:47:57 /dashboard ............................................................................................ ~ 0.37ms
  2025-12-09 21:37:17 /admin/members ........................................................................................ ~ 0.76ms
  2025-12-09 21:37:17 /.well-known/appspecific/com.chrome.devtools.json ..................................................... ~ 0.02ms
  2025-12-09 21:37:18 /favicon.svg .......................................................................................... ~ 0.15ms
  2025-12-09 21:37:18 /favicon.ico .......................................................................................... ~ 0.06ms
  2025-12-09 21:37:19 /admin/users .......................................................................................... ~ 0.09ms
  2025-12-09 21:37:19 /admin/yahrzeits ...................................................................................... ~ 0.19ms
  2025-12-09 21:37:24 ........................................................................................................... ~ 2s
  2025-12-09 21:38:18 /admin/yahrzeits ...................................................................................... ~ 0.09ms
  2025-12-09 21:38:18 /favicon.svg .......................................................................................... ~ 0.04ms
  2025-12-09 21:38:18 /favicon.ico .......................................................................................... ~ 0.04ms
  2025-12-09 21:38:22 /admin/members ........................................................................................ ~ 0.11ms
  2025-12-09 21:38:24 /admin/members ........................................................................................ ~ 0.34ms
  2025-12-09 21:38:24 /admin/users .......................................................................................... ~ 0.08ms
  2025-12-09 21:38:25 /admin/members/10/edit ................................................................................ ~ 0.06ms
  2025-12-09 21:38:25 /admin/members/10 ..................................................................................... ~ 0.14ms
  2025-12-09 21:38:26 /admin/members ........................................................................................ ~ 0.06ms
  2025-12-09 21:38:26 /admin/members/10/edit ................................................................................ ~ 0.27ms
  2025-12-09 21:38:29 / ..................................................................................................... ~ 0.12ms
  2025-12-09 21:38:29 /dashboard ................................................................................................ ~ 3s
  2025-12-09 21:38:34 /admin/yahrzeits ...................................................................................... ~ 0.30ms
  2025-12-09 21:38:34 /admin/members ........................................................................................ ~ 0.06ms
  2025-12-09 21:38:39 /admin/members ........................................................................................ ~ 0.13ms
  2025-12-09 21:38:39 /admin/yahrzeits ......................................................................................... ~ 17s
  2025-12-09 21:38:57 /admin/yahrzeits ...................................................................................... ~ 0.08ms
  2025-12-09 21:38:57 /admin/yahrzeits ......................................................................................... ~ 33s
  2025-12-09 21:38:59 /admin/yahrzeits ......................................................................................... ~ 31s
  2025-12-09 21:39:31 /build/assets/app-DscC3zcx.css ........................................................................ ~ 0.05ms
  2025-12-09 21:39:31 /build/assets/index-BIh-5mcT.js ....................................................................... ~ 0.05ms
  2025-12-09 21:39:31 /build/assets/app-B5LviwUM.js ......................................................................... ~ 3.54ms
  2025-12-09 21:39:31 /build/assets/app-logo-icon-D6dBOENI.js ............................................................... ~ 7.02ms
  2025-12-09 21:39:31 /build/assets/input-BvcMmTp6.js ....................................................................... ~ 9.60ms
  2025-12-09 21:39:31 /build/assets/app-layout-CkvBFkKV.js .................................................................. ~ 3.00ms
  2025-12-09 21:39:31 /build/assets/badge-Cae4sJ9j.js ....................................................................... ~ 5.46ms
  2025-12-09 21:39:31 /build/assets/user-C-kWNOaF.js ........................................................................ ~ 5.29ms
  2025-12-09 21:39:31 /build/assets/square-pen-C9T5HiB_.js .................................................................. ~ 3.12ms
  2025-12-09 21:39:31 /build/assets/trash-2-DBFqaDk9.js ..................................................................... ~ 5.41ms
  2025-12-09 21:39:31 /build/assets/search-5_r6qQ6J.js ...................................................................... ~ 4.78ms
  2025-12-09 21:39:31 /build/assets/index-CLXTkPm0.js ....................................................................... ~ 0.03ms
  2025-12-09 21:39:31 /build/assets/index-DKhZo1hS.js ....................................................................... ~ 2.43ms
  2025-12-09 21:39:31 /build/assets/index-C4J_hXM0.js ....................................................................... ~ 4.82ms
  2025-12-09 21:39:31 /build/assets/app-DscC3zcx.css ........................................................................ ~ 0.02ms
  2025-12-09 21:39:33 /admin/members ............................................................................................ ~ 1s
  2025-12-09 21:39:33 /build/assets/app-DscC3zcx.css ............................................................................ ~ 1s
  2025-12-09 21:39:34 /build/assets/index-SyE6m3eb.js ....................................................................... ~ 0.07ms
  2025-12-09 21:39:34 /build/assets/app-B5LviwUM.js ......................................................................... ~ 3.88ms
  2025-12-09 21:39:34 /build/assets/app-layout-CkvBFkKV.js .................................................................. ~ 7.55ms
  2025-12-09 21:39:34 /build/assets/app-logo-icon-D6dBOENI.js .............................................................. ~ 10.35ms
  2025-12-09 21:39:34 /build/assets/input-BvcMmTp6.js ...................................................................... ~ 12.79ms
  2025-12-09 21:39:34 /build/assets/eye-B0gFNClD.js ........................................................................ ~ 15.66ms
  2025-12-09 21:39:34 /build/assets/square-pen-C9T5HiB_.js .................................................................. ~ 0.05ms
  2025-12-09 21:39:34 /build/assets/trash-2-DBFqaDk9.js ..................................................................... ~ 2.48ms
  2025-12-09 21:39:34 /build/assets/search-5_r6qQ6J.js ...................................................................... ~ 4.98ms
  2025-12-09 21:39:34 /build/assets/index-CLXTkPm0.js ....................................................................... ~ 7.55ms
  2025-12-09 21:39:34 /build/assets/index-DKhZo1hS.js ...................................................................... ~ 10.08ms
  2025-12-09 21:39:34 /build/assets/index-C4J_hXM0.js ...................................................................... ~ 12.45ms
  2025-12-09 21:39:34 /build/assets/app-DscC3zcx.css ........................................................................ ~ 0.02ms
  2025-12-09 21:39:34 /favicon.svg .......................................................................................... ~ 0.02ms
  2025-12-09 21:39:34 /favicon.ico .......................................................................................... ~ 0.02ms
  2025-12-09 21:39:35 /admin/members ........................................................................................ ~ 0.33ms
  2025-12-09 21:39:35 /build/assets/app-DscC3zcx.css ........................................................................ ~ 0.07ms
  2025-12-09 21:39:35 /build/assets/index-SyE6m3eb.js ....................................................................... ~ 0.09ms
  2025-12-09 21:39:35 /build/assets/app-layout-CkvBFkKV.js .................................................................. ~ 4.43ms
  2025-12-09 21:39:35 /build/assets/app-logo-icon-D6dBOENI.js ............................................................... ~ 7.55ms
  2025-12-09 21:39:35 /build/assets/app-B5LviwUM.js ........................................................................ ~ 10.41ms
  2025-12-09 21:39:35 /build/assets/input-BvcMmTp6.js ...................................................................... ~ 13.76ms
  2025-12-09 21:39:35 /build/assets/eye-B0gFNClD.js ........................................................................ ~ 16.79ms
  2025-12-09 21:39:35 /build/assets/square-pen-C9T5HiB_.js ................................................................. ~ 15.54ms
  2025-12-09 21:39:35 /build/assets/trash-2-DBFqaDk9.js ..................................................................... ~ 2.47ms
  2025-12-09 21:39:35 /build/assets/search-5_r6qQ6J.js ...................................................................... ~ 5.11ms
  2025-12-09 21:39:35 /build/assets/index-CLXTkPm0.js ....................................................................... ~ 2.78ms
  2025-12-09 21:39:35 /build/assets/index-DKhZo1hS.js ....................................................................... ~ 5.44ms
  2025-12-09 21:39:35 /build/assets/index-C4J_hXM0.js ....................................................................... ~ 5.29ms
  2025-12-09 21:39:35 /build/assets/app-DscC3zcx.css ........................................................................ ~ 0.02ms
  2025-12-09 21:39:35 /favicon.svg .......................................................................................... ~ 0.02ms
  2025-12-09 21:39:35 /favicon.ico .......................................................................................... ~ 0.02ms
